iter	Passed	Remaining
693	2997	1321
694	3000	1316
695	3002	1311
696	3003	1305
697	3005	1300
698	3007	1294
699	3009	1289
700	3011	1284
701	3014	1279
702	3016	1274
703	3018	1268
704	3019	1263
705	3021	1258
706	3023	1252
707	3026	1248
708	3029	1243
709	3031	1238
710	3032	1232
711	3034	1227
712	3036	1222
713	3043	1219
714	3045	1213
715	3046	1208
716	3048	1203
717	3049	1197
718	3051	1192
719	3057	1189
720	3060	1184
721	3062	1179
722	3064	1174
723	3066	1168
724	3073	1165
725	3075	1160
726	3077	1155
727	3079	1150
728	3081	1145
729	3086	1141
730	3088	1136
731	3090	1131
732	3092	1126
733	3094	1121
734	3095	1116
735	3103	1113
736	3105	1108
737	3108	1103
738	3110	1098
739	3113	1093
740	3115	1089
741	3118	1084
742	3119	1079
743	3122	1074
744	3123	1069
745	3127	1064
746	3131	1060
747	3133	1055
748	3135	1050
749	3136	1045
750	3140	1041
751	3144	1037
752	3148	1032
753	3150	1027
754	3162	1026
755	3177	1025
756	3183	1022
757	3196	1020
758	3201	1016
759	3226	1019
760	3232	1015
761	3235	1010
762	3237	1005
763	3241	1001
764	3251	998
765	3254	994
766	3270	993
767	3283	991
768	3285	987
769	3292	983
770	3295	978
771	3297	973
772	3300	969
773	3311	966
774	3314	962
775	3323	959
776	3326	954
777	3328	949
778	3330	944
779	3339	941
780	3342	937
781	3347	933
782	3349	928
783	3351	923
784	3353	918
785	3355	913
786	3356	908
787	3367	905
788	3369	901
789	3371	896
790	3377	892
791	3379	887
792	3381	882
793	3383	877
794	3384	872
795	3386	867
796	3395	864
797	3397	860
798	3398	855
799	3400	850
800	3403	845
801	3405	840
802	3407	835
803	3411	831
804	3412	826
805	3415	821
806	3425	819
807	3427	814
808	3430	809
809	3432	805
810	3435	800
811	3437	795
812	3441	791
813	3442	786
814	3444	781
815	3458	779
816	3461	775
817	3465	771
818	3468	766
819	3469	761
820	3471	756
821	3472	752
822	3475	747
823	3479	743
824	3481	738
825	3484	733
826	3486	729
827	3488	724
828	3491	720
829	3494	715
830	3496	711
831	3498	706
832	3500	701
833	3502	697
834	3509	693
835	3511	688
836	3513	684
837	3515	679
838	3517	674
839	3521	670
840	3524	666
841	3528	662
842	3529	657
843	3533	653
844	3537	648
845	3540	644
846	3546	640
847	3549	636
848	3551	631
849	3553	627
850	3555	622
851	3564	619
852	3566	614
853	3568	610
854	3570	605
855	3573	601
856	3579	597
857	3581	592
858	3583	588
859	3588	584
860	3590	579
861	3593	575
862	3596	570
863	3601	566
864	3604	562
865	3607	558
866	3609	553
867	3611	549
868	3619	545
869	3622	541
870	3624	536
871	3627	532
872	3629	528
873	3633	523
874	3635	519
875	3638	514
876	3640	510
877	3641	506
878	3649	502
879	3651	497
880	3653	493
881	3684	492
882	3687	488
883	3691	484
884	3694	480
885	3696	475
886	3699	471
887	3705	467
888	3708	463
889	3711	458
890	3713	454
891	3718	450
892	3730	446
893	3737	443
894	3740	438
895	3742	434
896	3744	430
897	3749	425
898	3752	421
899	3754	417
900	3756	412
901	3757	408
902	3759	403
903	3766	399
904	3770	395
905	3772	391
906	3774	386
907	3777	382
908	3780	378
909	3783	374
910	3785	369
911	3788	365
912	3797	361
913	3799	357
914	3801	353
915	3803	348
916	3806	344
917	3809	340
918	3811	335
919	3814	331
920	3816	327
921	3818	323
922	3821	318
923	3824	314
924	3826	310
925	3828	305
926	3830	301
927	3831	297
928	3834	293
929	3837	288
930	3839	284
931	3840	280
932	3842	275
933	3844	271
934	3845	267
935	3847	263
936	3854	259
937	3855	254
938	3857	250
939	3858	246
940	3860	242
941	3862	237
942	3868	233
943	3870	229
944	3872	225
945	3874	221
946	3875	216
947	3877	212
948	3884	208
949	3885	204
950	3887	200
951	3888	196
952	3890	191
953	3892	187
954	3895	183
955	3897	179
956	3899	175
957	3900	170
958	3901	166
959	3903	162
960	3904	158
961	3906	154
962	3915	150
963	3916	146
964	3918	142
965	3920	137
966	3921	133
967	3923	129
968	3925	125
969	3927	121
970	3929	117
971	3931	113
972	3933	109
973	3934	105
974	3935	100
975	3939	96
976	3941	92
977	3943	88
978	3945	84
979	3946	80
980	3948	76
981	3949	72
982	3951	68
983	3953	64
984	3955	60
985	3956	56
986	3958	52
987	3959	48
988	3961	44
989	3963	40
990	3964	36
991	3969	32
992	3971	27
993	3973	23
994	3975	19
995	3976	15
996	3978	11
997	3979	7
998	3982	3
999	3986	0
