iter	Passed	Remaining
647	1154	626
648	1155	625
649	1158	623
650	1160	622
651	1163	620
652	1165	619
653	1166	617
654	1168	615
655	1170	614
656	1172	612
657	1174	610
658	1176	608
659	1177	606
660	1179	604
661	1180	602
662	1181	600
663	1182	598
664	1183	596
665	1185	594
666	1186	592
667	1187	590
668	1188	588
669	1190	586
670	1191	584
671	1192	582
672	1193	579
673	1195	578
674	1196	575
675	1197	573
676	1198	571
677	1199	569
678	1201	567
679	1202	565
680	1203	563
681	1204	561
682	1205	559
683	1207	557
684	1208	555
685	1209	553
686	1210	551
687	1211	549
688	1213	547
689	1214	545
690	1215	543
691	1217	541
692	1218	539
693	1219	537
694	1220	535
695	1221	533
696	1222	531
697	1224	529
698	1225	527
699	1226	525
700	1227	523
701	1229	521
702	1230	519
703	1231	517
704	1233	515
705	1233	513
706	1234	511
707	1236	509
708	1237	507
709	1238	505
710	1239	503
711	1241	501
712	1242	500
713	1243	498
714	1244	496
715	1246	494
716	1247	492
717	1249	490
718	1250	488
719	1251	486
720	1252	484
721	1254	482
722	1255	480
723	1256	479
724	1258	477
725	1259	475
726	1261	473
727	1263	471
728	1264	470
729	1265	468
730	1267	466
731	1269	464
732	1271	463
733	1272	461
734	1273	459
735	1275	457
736	1276	455
737	1277	453
738	1278	451
739	1280	449
740	1281	447
741	1282	445
742	1283	444
743	1285	442
744	1286	440
745	1287	438
746	1288	436
747	1289	434
748	1291	432
749	1292	430
750	1293	428
751	1294	426
752	1299	426
753	1301	424
754	1303	422
755	1304	421
756	1306	419
757	1308	417
758	1310	415
759	1311	414
760	1314	412
761	1316	411
762	1318	409
763	1320	407
764	1323	406
765	1324	404
766	1326	403
767	1328	401
768	1330	399
769	1333	398
770	1335	396
771	1338	395
772	1340	393
773	1341	391
774	1343	390
775	1345	388
776	1347	386
777	1349	385
778	1351	383
779	1353	381
780	1355	380
781	1357	378
782	1359	376
783	1361	375
784	1363	373
785	1365	371
786	1367	370
787	1369	368
788	1371	366
789	1373	365
790	1374	363
791	1377	361
792	1378	359
793	1381	358
794	1383	356
795	1385	355
796	1387	353
797	1389	351
798	1392	350
799	1394	348
800	1397	347
801	1400	345
802	1402	344
803	1404	342
804	1407	340
805	1409	339
806	1411	337
807	1413	335
808	1416	334
809	1418	332
810	1420	331
811	1422	329
812	1424	327
813	1426	325
814	1427	324
815	1429	322
816	1432	320
817	1433	319
818	1435	317
819	1437	315
820	1440	314
821	1442	312
822	1444	310
823	1445	308
824	1447	306
825	1448	305
826	1450	303
827	1451	301
828	1453	299
829	1454	298
830	1456	296
831	1458	294
832	1459	292
833	1461	290
834	1462	289
835	1464	287
836	1465	285
837	1467	283
838	1468	281
839	1470	280
840	1471	278
841	1473	276
842	1474	274
843	1475	272
844	1477	270
845	1478	269
846	1480	267
847	1481	265
848	1483	263
849	1484	262
850	1487	260
851	1489	258
852	1491	257
853	1493	255
854	1494	253
855	1496	251
856	1497	249
857	1499	248
858	1501	246
859	1504	244
860	1506	243
861	1507	241
862	1509	239
863	1510	237
864	1511	235
865	1513	234
866	1514	232
867	1515	230
868	1516	228
869	1518	226
870	1519	225
871	1521	223
872	1522	221
873	1524	219
874	1526	218
875	1528	216
876	1529	214
877	1530	212
878	1532	210
879	1533	209
880	1534	207
881	1536	205
882	1537	203
883	1539	201
884	1540	200
885	1542	198
886	1543	196
887	1545	194
888	1547	193
889	1548	191
890	1550	189
891	1552	187
892	1554	186
893	1555	184
894	1557	182
895	1558	180
896	1560	179
897	1562	177
898	1563	175
899	1566	174
900	1568	172
901	1569	170
902	1571	168
903	1572	167
904	1574	165
905	1575	163
906	1576	161
907	1577	159
908	1578	158
909	1580	156
910	1581	154
911	1582	152
912	1583	150
913	1585	149
914	1586	147
915	1587	145
916	1588	143
917	1589	141
918	1591	140
919	1592	138
920	1593	136
921	1594	134
922	1595	133
923	1597	131
924	1598	129
925	1600	127
926	1602	126
927	1604	124
928	1605	122
929	1607	120
930	1608	119
931	1609	117
932	1610	115
933	1612	113
934	1614	112
935	1616	110
936	1617	108
937	1618	107
938	1620	105
939	1621	103
940	1622	101
941	1623	99
942	1625	98
943	1626	96
944	1627	94
945	1629	92
946	1630	91
947	1631	89
948	1633	87
949	1634	86
950	1636	84
951	1637	82
952	1639	80
953	1640	79
954	1642	77
955	1644	75
956	1645	73
957	1646	72
958	1647	70
959	1649	68
960	1651	67
961	1652	65
962	1654	63
963	1655	61
964	1656	60
965	1658	58
966	1659	56
967	1660	54
968	1661	53
969	1662	51
970	1664	49
971	1665	47
972	1666	46
973	1668	44
974	1669	42
975	1670	41
976	1671	39
977	1673	37
978	1674	35
979	1675	34
980	1677	32
981	1678	30
982	1679	29
983	1680	27
984	1681	25
985	1683	23
986	1684	22
987	1685	20
988	1687	18
989	1688	17
990	1689	15
991	1690	13
992	1692	11
993	1694	10
994	1696	8
995	1699	6
996	1701	5
997	1702	3
998	1704	1
999	1706	0
